State,County,cooling system type,climate zone,PUE mean
Alabama,Randolph County,14,,
Alabama,Russell County,1,,
Alabama,Russell County,2,,
Alabama,Russell County,3,,
Alabama,Russell County,4,,
Alabama,Russell County,5,,
Alabama,Russell County,6,,
Alabama,Russell County,7,,
Alabama,Russell County,8,,
Alabama,Russell County,9,,
Alabama,Russell County,10,,
Alabama,Russell County,11,,
Alabama,Russell County,12,,
Alabama,Russell County,13,,
Alabama,Russell County,14,,
Alabama,Shelby County,1,,
Alabama,Shelby County,2,,
Alabama,Shelby County,3,,
Alabama,Shelby County,4,,
Alabama,Shelby County,5,,
Alabama,Shelby County,6,,
Alabama,Shelby County,7,,
Alabama,Shelby County,8,,
Alabama,Shelby County,9,,
Alabama,Shelby County,10,,
Alabama,Shelby County,11,,
Alabama,Shelby County,12,,
Alabama,Shelby County,13,,
Alabama,Shelby County,14,,
Alabama,St. Clair County,1,,
Alabama,St. Clair County,2,,
Alabama,St. Clair County,3,,
Alabama,St. Clair County,4,,
Alabama,St. Clair County,5,,
Alabama,St. Clair County,6,,
Alabama,St. Clair County,7,,
Alabama,St. Clair County,8,,
Alabama,St. Clair County,9,,
Alabama,St. Clair County,10,,
Alabama,St. Clair County,11,,
Alabama,St. Clair County,12,,
Alabama,St. Clair County,13,,
Alabama,St. Clair County,14,,
Alabama,Sumter County,1,,
Alabama,Sumter County,2,,
Alabama,Sumter County,3,,
Alabama,Sumter County,4,,
Alabama,Sumter County,5,,
Alabama,Sumter County,6,,
Alabama,Sumter County,7,,
Alabama,Sumter County,8,,
Alabama,Sumter County,9,,
Alabama,Sumter County,10,,
Alabama,Sumter County,11,,
Alabama,Sumter County,12,,
Alabama,Sumter County,13,,
Alabama,Sumter County,14,,
Alabama,Talladega County,1,,
Alabama,Talladega County,2,,
Alabama,Talladega County,3,,
Alabama,Talladega County,4,,
Alabama,Talladega County,5,,
Alabama,Talladega County,6,,
Alabama,Talladega County,7,,
Alabama,Talladega County,8,,
Alabama,Talladega County,9,,
Alabama,Talladega County,10,,
Alabama,Talladega County,11,,
Alabama,Talladega County,12,,
Alabama,Talladega County,13,,
Alabama,Talladega County,14,,
Alabama,Tallapoosa County,1,,
Alabama,Tallapoosa County,2,,
Alabama,Tallapoosa County,3,,
Alabama,Tallapoosa County,4,,
Alabama,Tallapoosa County,5,,
Alabama,Tallapoosa County,6,,
Alabama,Tallapoosa County,7,,
Alabama,Tallapoosa County,8,,
Alabama,Tallapoosa County,9,,
Alabama,Tallapoosa County,10,,
Alabama,Tallapoosa County,11,,
Alabama,Tallapoosa County,12,,
Alabama,Tallapoosa County,13,,
Alabama,Tallapoosa County,14,,
Alabama,Tuscaloosa County,1,,
Alabama,Tuscaloosa County,2,,
Alabama,Tuscaloosa County,3,,
Alabama,Tuscaloosa County,4,,
Alabama,Tuscaloosa County,5,,
Alabama,Tuscaloosa County,6,,
Alabama,Tuscaloosa County,7,,
Alabama,Tuscaloosa County,8,,
Alabama,Tuscaloosa County,9,,
Alabama,Tuscaloosa County,10,,
Alabama,Tuscaloosa County,11,,
Alabama,Tuscaloosa County,12,,
Alabama,Tuscaloosa County,13,,
Alabama,Tuscaloosa County,14,,
Alabama,Walker County,1,,
Alabama,Walker County,2,,
Alabama,Walker County,3,,
Alabama,Walker County,4,,
Alabama,Walker County,5,,
Alabama,Walker County,6,,
Alabama,Walker County,7,,
Alabama,Walker County,8,,
Alabama,Walker County,9,,
Alabama,Walker County,10,,
Alabama,Walker County,11,,
Alabama,Walker County,12,,
Alabama,Walker County,13,,
Alabama,Walker County,14,,
Alabama,Washington County,1,,
Alabama,Washington County,2,,
Alabama,Washington County,3,,
Alabama,Washington County,4,,
Alabama,Washington County,5,,
Alabama,Washington County,6,,
Alabama,Washington County,7,,
Alabama,Washington County,8,,
Alabama,Washington County,9,,
Alabama,Washington County,10,,
Alabama,Washington County,11,,
Alabama,Washington County,12,,
Alabama,Washington County,13,,
Alabama,Washington County,14,,
Alabama,Wilcox County,1,,
Alabama,Wilcox County,2,,
Alabama,Wilcox County,3,,
Alabama,Wilcox County,4,,
Alabama,Wilcox County,5,,
Alabama,Wilcox County,6,,
