State,County,cooling system type,climate zone,PUE mean
Alabama,Jackson County,12,3A,1.4528
Alabama,Jackson County,13,3A,1.37885
Alabama,Jackson County,14,3A,1.60905
Alabama,Jefferson County,1,3A,1.1968
Alabama,Jefferson County,2,3A,1.15765
Alabama,Jefferson County,3,3A,1.53995
Alabama,Jefferson County,4,3A,1.4143
Alabama,Jefferson County,5,3A,1.63775
Alabama,Jefferson County,6,3A,1.62605
Alabama,Jefferson County,7,3A,1.8597
Alabama,Jefferson County,8,3A,1.87095
Alabama,Jefferson County,9,3A,2.0324
Alabama,Jefferson County,10,3A,2.1448
Alabama,Jefferson County,11,3A,1.2664
Alabama,Jefferson County,12,3A,1.4528
Alabama,Jefferson County,13,3A,1.37885
Alabama,Jefferson County,14,3A,1.60905
Alabama,Lamar County,1,3A,1.1968
Alabama,Lamar County,2,3A,1.15765
Alabama,Lamar County,3,3A,1.53995
Alabama,Lamar County,4,3A,1.4143
Alabama,Lamar County,5,3A,1.63775
Alabama,Lamar County,6,3A,1.62605
Alabama,Lamar County,7,3A,1.8597
Alabama,Lamar County,8,3A,1.87095
Alabama,Lamar County,9,3A,2.0324
Alabama,Lamar County,10,3A,2.1448
Alabama,Lamar County,11,3A,1.2664
Alabama,Lamar County,12,3A,1.4528
Alabama,Lamar County,13,3A,1.37885
Alabama,Lamar County,14,3A,1.60905
Alabama,Lauderdale County,1,3A,1.1968
Alabama,Lauderdale County,2,3A,1.15765
Alabama,Lauderdale County,3,3A,1.53995
Alabama,Lauderdale County,4,3A,1.4143
Alabama,Lauderdale County,5,3A,1.63775
Alabama,Lauderdale County,6,3A,1.62605
Alabama,Lauderdale County,7,3A,1.8597
Alabama,Lauderdale County,8,3A,1.87095
Alabama,Lauderdale County,9,3A,2.0324
Alabama,Lauderdale County,10,3A,2.1448
Alabama,Lauderdale County,11,3A,1.2664
Alabama,Lauderdale County,12,3A,1.4528
Alabama,Lauderdale County,13,3A,1.37885
Alabama,Lauderdale County,14,3A,1.60905
Alabama,Lawrence County,1,3A,1.1968
Alabama,Lawrence County,2,3A,1.15765
Alabama,Lawrence County,3,3A,1.53995
Alabama,Lawrence County,4,3A,1.4143
Alabama,Lawrence County,5,3A,1.63775
Alabama,Lawrence County,6,3A,1.62605
Alabama,Lawrence County,7,3A,1.8597
Alabama,Lawrence County,8,3A,1.87095
Alabama,Lawrence County,9,3A,2.0324
Alabama,Lawrence County,10,3A,2.1448
Alabama,Lawrence County,11,3A,1.2664
Alabama,Lawrence County,12,3A,1.4528
Alabama,Lawrence County,13,3A,1.37885
Alabama,Lawrence County,14,3A,1.60905
Alabama,Lee County,1,3A,1.1968
Alabama,Lee County,2,3A,1.15765
Alabama,Lee County,3,3A,1.53995
Alabama,Lee County,4,3A,1.4143
Alabama,Lee County,5,3A,1.63775
Alabama,Lee County,6,3A,1.62605
Alabama,Lee County,7,3A,1.8597
Alabama,Lee County,8,3A,1.87095
Alabama,Lee County,9,3A,2.0324
Alabama,Lee County,10,3A,2.1448
Alabama,Lee County,11,3A,1.2664
Alabama,Lee County,12,3A,1.4528
Alabama,Lee County,13,3A,1.37885
Alabama,Lee County,14,3A,1.60905
Alabama,Limestone County,1,3A,1.1968
Alabama,Limestone County,2,3A,1.15765
Alabama,Limestone County,3,3A,1.53995
Alabama,Limestone County,4,3A,1.4143
Alabama,Limestone County,5,3A,1.63775
Alabama,Limestone County,6,3A,1.62605
Alabama,Limestone County,7,3A,1.8597
Alabama,Limestone County,8,3A,1.87095
Alabama,Limestone County,9,3A,2.0324
Alabama,Limestone County,10,3A,2.1448
Alabama,Limestone County,11,3A,1.2664
Alabama,Limestone County,12,3A,1.4528
Alabama,Limestone County,13,3A,1.37885
Alabama,Limestone County,14,3A,1.60905
Alabama,Lowndes County,1,3A,1.1968
Alabama,Lowndes County,2,3A,1.15765
Alabama,Lowndes County,3,3A,1.53995
Alabama,Lowndes County,4,3A,1.4143
Alabama,Lowndes County,5,3A,1.63775
Alabama,Lowndes County,6,3A,1.62605
Alabama,Lowndes County,7,3A,1.8597
Alabama,Lowndes County,8,3A,1.87095
Alabama,Lowndes County,9,3A,2.0324
Alabama,Lowndes County,10,3A,2.1448
Alabama,Lowndes County,11,3A,1.2664
Alabama,Lowndes County,12,3A,1.4528
Alabama,Lowndes County,13,3A,1.37885
Alabama,Lowndes County,14,3A,1.60905
Alabama,Macon County,1,3A,1.1968
Alabama,Macon County,2,3A,1.15765
Alabama,Macon County,3,3A,1.53995
Alabama,Macon County,4,3A,1.4143
Alabama,Macon County,5,3A,1.63775
Alabama,Macon County,6,3A,1.62605
Alabama,Macon County,7,3A,1.8597
Alabama,Macon County,8,3A,1.87095
Alabama,Macon County,9,3A,2.0324
Alabama,Macon County,10,3A,2.1448
Alabama,Macon County,11,3A,1.2664
Alabama,Macon County,12,3A,1.4528
Alabama,Macon County,13,3A,1.37885
Alabama,Macon County,14,3A,1.60905
Alabama,Madison County,1,3A,1.1968
Alabama,Madison County,2,3A,1.15765
Alabama,Madison County,3,3A,1.53995
Alabama,Madison County,4,3A,1.4143
Alabama,Madison County,5,3A,1.63775
Alabama,Madison County,6,3A,1.62605
Alabama,Madison County,7,3A,1.8597
Alabama,Madison County,8,3A,1.87095
Alabama,Madison County,9,3A,2.0324
Alabama,Madison County,10,3A,2.1448
Alabama,Madison County,11,3A,1.2664
Alabama,Madison County,12,3A,1.4528
Alabama,Madison County,13,3A,1.37885
Alabama,Madison County,14,3A,1.60905
Alabama,Marengo County,1,3A,1.1968
Alabama,Marengo County,2,3A,1.15765
Alabama,Marengo County,3,3A,1.53995
Alabama,Marengo County,4,3A,1.4143
Alabama,Marengo County,5,3A,1.63775
Alabama,Marengo County,6,3A,1.62605
Alabama,Marengo County,7,3A,1.8597
Alabama,Marengo County,8,3A,1.87095
Alabama,Marengo County,9,3A,2.0324
Alabama,Marengo County,10,3A,2.1448
Alabama,Marengo County,11,3A,1.2664
Alabama,Marengo County,12,3A,1.4528
Alabama,Marengo County,13,3A,1.37885
Alabama,Marengo County,14,3A,1.60905
Alabama,Marion County,1,3A,1.1968
Alabama,Marion County,2,3A,1.15765
Alabama,Marion County,3,3A,1.53995
Alabama,Marion County,4,3A,1.4143
Alabama,Marion County,5,3A,1.63775
Alabama,Marion County,6,3A,1.62605
Alabama,Marion County,7,3A,1.8597
Alabama,Marion County,8,3A,1.87095
